 1193 | 1882.00 | 342574.00 | 351352 | 326407
 1201 | 1904.00 | 350275.00 | 355415 | 343360
 1209 | 1937.00 | 350569.00 | 358212 | 341777
 1217 | 2028.00 | 352343.00 | 361000 | 342661
 1225 | 2025.00 | 357383.00 | 367512 | 351101
 1233 | 1990.00 | 364577.00 | 371063 | 358402
 1241 | 2023.00 | 368892.00 | 377380 | 360691
 1249 | 2032.00 | 371908.00 | 382556 | 355197
 1257 | 2114.00 | 383888.00 | 391103 | 373957
 1265 | 2161.00 | 380085.00 | 396863 | 367318
 1273 | 2329.00 | 396049.00 | 407289 | 383233
 1281 | 2161.00 | 394075.00 | 403220 | 384555
 1289 | 2181.00 | 399152.00 | 412382 | 386230
 1297 | 2197.00 | 405618.00 | 414886 | 391780
 1305 | 2230.00 | 404464.00 | 412739 | 393662
 1313 | 2275.00 | 415407.00 | 421712 | 406094
 1321 | 2409.00 | 420932.00 | 429899 | 413845
 1329 | 2362.00 | 422312.00 | 429718 | 409289
 1337 | 2311.00 | 423743.00 | 434629 | 409588
 1345 | 2345.00 | 435843.00 | 455180 | 417511
 1353 | 2492.00 | 439917.00 | 451770 | 433077
 1361 | 2526.00 | 446599.00 | 466371 | 431119
 1369 | 2655.00 | 445627.00 | 453155 | 437648
 1377 | 2489.00 | 462785.00 | 471310 | 448546
 1385 | 2516.00 | 460622.00 | 474184 | 444977
 1393 | 2498.00 | 460884.00 | 478265 | 436221
 1401 | 2574.00 | 474727.00 | 494176 | 456222
 1409 | 2768.00 | 476048.00 | 497545 | 465147
 1417 | 2620.00 | 486016.00 | 498180 | 474806
 1425 | 2967.00 | 478576.00 | 493066 | 466441
 1433 | 2739.00 | 499200.00 | 510536 | 490894
 1441 | 2706.00 | 494535.00 | 506919 | 477160
 1449 | 2816.00 | 503708.00 | 515537 | 490333
 1457 | 2902.00 | 514015.00 | 528320 | 502486
 1465 | 2977.00 | 516491.00 | 531537 | 499480
 1473 | 2838.00 | 523062.00 | 531393 | 510436
 1481 | 2856.00 | 526518.00 | 532639 | 518387
 1489 | 2952.00 | 531341.00 | 556020 | 509873
 1497 | 3116.00 | 536632.00 | 550549 | 510329
